20191002T060620Z,6935,300
20191002T061517Z,107038,422
20191002T083247Z,111614,263
20191002T085617Z,116047,328
20191002T093000Z,120533,263
20191002T095019Z,124967,253
20191002T095317Z,129375,244
20191002T100311Z,133788,272
20191002T100554Z,138219,226
20191002T112252Z,142613,301
20191002T113211Z,147067,150
20191002T114353Z,151383,347
20191002T120910Z,155889,253
20191002T124531Z,160314,254
20191002T131731Z,164722,328
20191002T132639Z,169220,263
20191002T135544Z,173643,273
20191002T140741Z,178084,178
20191002T152557Z,182418,216
20191002T153530Z,186805,291
20191002T154130Z,191256,206
20191002T165624Z,195634,281
20191002T170642Z,200070,216
20191002T185415Z,204457,253
20191002T212210Z,208872,328
20191002T214042Z,213373,207
20191002T214640Z,217736,263
20191002T220815Z,222169,291
20191003T060831Z,226624,235
20191003T064134Z,231031,244
20191003T085541Z,235431,253
20191003T103030Z,239855,281
20191003T104825Z,244298,197
20191003T112656Z,248666,300
20191003T120241Z,253124,235
20191003T122041Z,257529,282
20191003T124746Z,261970,263
20191003T142929Z,266525,263
20191003T151022Z,270958,188
20191003T155349Z,275299,123
20191003T172753Z,279592,253
20191003T174147Z,284007,282
20191003T180609Z,288464,216
20191003T184006Z,292836,207
20191003T192957Z,297215,272
20191003T200908Z,301650,206
20191003T201311Z,306029,310
20191003T205216Z,310494,226
20191003T214502Z,314889,207
20191003T221758Z,319258,226
20191003T223402Z,323656,151
20191004T070818Z,327962,310
20191004T102303Z,332443,254
20191004T110923Z,336858,244
20191004T114302Z,341276,309
20191004T115501Z,345741,170
20191004T125628Z,350082,403
20191004T134422Z,354644,441
20191004T141540Z,359256,234
20191005T010551Z,363647,254
20191005T145939Z,368074,309
20191005T162520Z,401851,245
20191005T162521Z,403118,1196
20191005T175636Z,408497,263
20191005T181110Z,412917,300
20191005T190931Z,417388,234
20191005T192149Z,421779,337
20191005T193010Z,426294,403
20191005T195746Z,430855,356
20191005T201302Z,435384,104
20191005T201536Z,439643,272
20191006T004840Z,444091,290
20191006T010546Z,448539,226
20191006T011746Z,452938,104
20191006T012139Z,457335,188
20191006T013357Z,461680,216
20191006T014248Z,466072,393
20191006T014356Z,470621,169
20191006T020244Z,474960,216
20191006T020244Z,475353,168
20191006T020245Z,475935,167
20191006T095654Z,480264,262
20191006T104750Z,484701,301
20191006T110755Z,489162,178
20191006T113011Z,493510,198
20191006T123053Z,497867,273
20191006T125923Z,502317,356
20191006T132252Z,506832,151
20191006T144735Z,511156,253
20191006T151058Z,515568,244
20191006T162614Z,519990,319
20191007T063643Z,524468,553
20191007T073652Z,529191,320
20191007T214811Z,533671,852
20191008T060241Z,538694,300
20191008T071132Z,543156,217
20191008T072433Z,547544,169
20191008T073958Z,551868,254
20191008T083456Z,556293,197
20191008T115218Z,560647,188
20191008T131403Z,565011,319
20191008T133814Z,569487,337
20191008T143259Z,573996,235
20191008T145830Z,578387,225
20191008T151345Z,582788,506
20191008T161749Z,887489,422
20191008T190307Z,892086,291
20191008T212852Z,1196592,207
20191008T212852Z,1196955,666
20191008T212853Z,1197842,151
20191009T055352Z,1501016,321
20191009T062554Z,1805521,282
20191009T081736Z,1809981,264
20191009T085550Z,2114455,263
